species_code,common_name,scientific_name,sort,family,slug
thbpar,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,12969,Psittacidae,
mafpar1,Maroon-fronted Parrot,Rhynchopsitta terrisi,12970,Psittacidae,
oltpar1,Olive-throated Parakeet,Eupsittula nana,12971,Psittacidae,
orfpar,Orange-fronted Parakeet,Eupsittula canicularis,12976,Psittacidae,
baymac,Blue-and-yellow Macaw,Ara ararauna,13016,Psittacidae,
milmac,Military Macaw,Ara militaris,13021,Psittacidae,
scamac1,Scarlet Macaw,Ara macao,13028,Psittacidae,scarlet-macaw
bucpar,Blue-crowned Parakeet,Thectocercus acuticaudatus,13040,Psittacidae,
grnpar,Green Parakeet,Psittacara holochlorus,13054,Psittacidae,green-parakeet
pacpar1,Pacific Parakeet,Psittacara strenuus,13060,Psittacidae,pacific-parakeet
mitpar,Mitred Parakeet,Psittacara mitratus,13072,Psittacidae,
greant1,Great Antshrike,Taraba major,13339,Thamnophilidae,
barant1,Barred Antshrike,Thamnophilus doliatus,13366,Thamnophilidae,
rusant1,Russet Antshrike,Thamnistes anabatinus,13489,Thamnophilidae,
plaant1,Plain Antvireo,Dysithamnus mentalis,13502,Thamnophilidae,
dowant1,Dot-winged Antwren,Microrhopias quixensis,13685,Thamnophilidae,
dusant1,Dusky Antbird,Cercomacroides tyrannina,13774,Thamnophilidae,
scaant1,Scaled Antpitta,Grallaria guatimalensis,14071,Grallariidae,
bkfant2,Mayan Antthrush,Formicarius moniliger,14329,Formicariidae,
tatlea1,Middle American Leaftosser,Sclerurus mexicanus,14385,Furnariidae,
sctlea1,Scaly-throated Leaftosser,Sclerurus guatemalensis,14399,Furnariidae,
oliwoo1,Olivaceous Woodcreeper,Sittasomus griseicapillus,14463,Furnariidae,
rudwoo1,Ruddy Woodcreeper,Dendrocincla homochroa,14503,Furnariidae,
tawwoo1,Tawny-winged Woodcreeper,Dendrocincla anabatina,14508,Furnariidae,
webwoo1,Wedge-billed Woodcreeper,Glyphorynchus spirurus,14531,Furnariidae,
nobwoo1,Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,14555,Furnariidae,
blbwoo1,Black-banded Woodcreeper,Dendrocolaptes picumnus,14571,Furnariidae,
stbwoo1,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,14598,Furnariidae,
ivbwoo1,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,14693,Furnariidae,
spowoo1,Spotted Woodcreeper,Xiphorhynchus erythropygius,14706,Furnariidae,
sthwoo1,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,14767,Furnariidae,
whswoo1,White-striped Woodcreeper,Lepidocolaptes leucogaster,14784,Furnariidae,
spcwoo1,Spot-crowned Woodcreeper,Lepidocolaptes affinis,14787,Furnariidae,
plaxen2,Northern Plain-Xenops,Xenops mexicanus,14819,Furnariidae,
stfgle1,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,14992,Furnariidae,
rufgle1,Ruddy Foliage-gleaner,Clibanornis rubiginosus,15058,Furnariidae,
butfog9,Fawn-throated Foliage-gleaner,Automolus cervinigularis,15102,Furnariidae,
rubspi2,Rufous-breasted Spinetail,Synallaxis erythrothorax,15484,Furnariidae,
lotman1,Long-tailed Manakin,Chiroxiphia linearis,15536,Pipridae,long-tailed-manakin
whcman1,White-collared Manakin,Manacus candei,15600,Pipridae,white-collared-manakin
recman1,Red-capped Manakin,Ceratopipra mentalis,15672,Pipridae,red-capped-manakin
lovcot1,Lovely Cotinga,Cotinga amabilis,15758,Cotingidae,lovely-cotinga
rufpih1,Rufous Piha,Lipaugus unirufus,15766,Cotingidae,
blctit1,Black-crowned Tityra,Tityra inquisitor,15798,Tityridae,
mastit1,Masked Tityra,Tityra semifasciata,15806,Tityridae,
thlsch2,Northern Schiffornis,Schiffornis veraepacis,15821,Tityridae,
spemou1,Speckled Mourner,Laniocera rufescens,15841,Tityridae,
cinbec1,Cinnamon Becard,Pachyramphus cinnamomeus,15874,Tityridae,
whwbec1,White-winged Becard,Pachyramphus polychopterus,15885,Tityridae,
grcbec1,Gray-collared Becard,Pachyramphus major,15899,Tityridae,
rotbec,Rose-throated Becard,Pachyramphus aglaiae,15910,Tityridae,
royfly1,Tropical Royal Flycatcher,Onychorhynchus coronatus,15938,Oxyruncidae,
rutfly2,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,15947,Oxyruncidae,
surfly1,Sulphur-rumped Flycatcher,Myiobius sulphureipygius,15961,Oxyruncidae,
sttspa1,Stub-tailed Spadebill,Platyrinchus cancrominus,16001,Tyrannidae,stub-tailed-spadebill
ocbfly1,Ochre-bellied Flycatcher,Mionectes oleagineus,16051,Tyrannidae,
secfly1,Sepia-capped Flycatcher,Leptopogon amaurocephalus,16070,Tyrannidae,
norben1,Northern Bentbill,Oncostoma cinereigulare,16161,Tyrannidae,
shtfly1,Slate-headed Tody-Flycatcher,Poecilotriccus sylvia,16247,Tyrannidae,
cotfly1,Common Tody-Flycatcher,Todirostrum cinereum,16266,Tyrannidae,
eyrfla1,Eye-ringed Flatbill,Rhynchocyclus brevirostris,16290,Tyrannidae,
yeofly1,Yellow-olive Flatbill,Tolmomyias sulphurescens,16312,Tyrannidae,
yebtyr1,Yellow-bellied Tyrannulet,Ornithion semiflavum,16385,Tyrannidae,
nobtyr,Northern Beardless-Tyrannulet,Camptostoma imberbe,16388,Tyrannidae,
greela,Greenish Elaenia,Myiopagis viridicata,16504,Tyrannidae,
yebela1,Yellow-bellied Elaenia,Elaenia flavogaster,16530,Tyrannidae,
mouela1,Mountain Elaenia,Elaenia frantzii,16557,Tyrannidae,
carela1,Caribbean Elaenia,Elaenia martinica,16565,Tyrannidae,
paltyr2,Guatemalan Tyrannulet,Zimmerius vilissimus,16632,Tyrannidae,guatemalan-tyrannulet
belfly1,Belted Flycatcher,Xenotriccus callizonus,16714,Tyrannidae,belted-flycatcher
pilfly1,Pileated Flycatcher,Xenotriccus mexicanus,16715,Tyrannidae,
tuffly,Tufted Flycatcher,Mitrephanes phaeocercus,16716,Tyrannidae,
olsfly,Olive-sided Flycatcher,Contopus cooperi,16723,Tyrannidae,
grepew,Greater Pewee,Contopus pertinax,16725,Tyrannidae,
wewpew,Western Wood-Pewee,Contopus sordidulus,16745,Tyrannidae,
tropew4,Northern Tropical Pewee,Contopus bogotensis,16750,Tyrannidae,
eawpew,Eastern Wood-Pewee,Contopus virens,16757,Tyrannidae,
yebfly,Yellow-bellied Flycatcher,Empidonax flaviventris,16782,Tyrannidae,
acafly,Acadian Flycatcher,Empidonax virescens,16783,Tyrannidae,
aldfly,Alder Flycatcher,Empidonax alnorum,16784,Tyrannidae,
wilfly,Willow Flycatcher,Empidonax traillii,16785,Tyrannidae,
whtfly1,White-throated Flycatcher,Empidonax albigularis,16792,Tyrannidae,
leafly,Least Flycatcher,Empidonax minimus,16796,Tyrannidae,
hamfly,Hammond's Flycatcher,Empidonax hammondii,16797,Tyrannidae,
gryfly,Gray Flycatcher,Empidonax wrightii,16798,Tyrannidae,
dusfly,Dusky Flycatcher,Empidonax oberholseri,16799,Tyrannidae,
pinfly1,Pine Flycatcher,Empidonax affinis,16802,Tyrannidae,pine-flycatcher
wesfly,Western Flycatcher,Empidonax difficilis,16808,Tyrannidae,
yelfly1,Yellowish Flycatcher,Empidonax flavescens,16817,Tyrannidae,yellowish-flycatcher
bubfly,Buff-breasted Flycatcher,Empidonax fulvifrons,16822,Tyrannidae,
blkpho,Black Phoebe,Sayornis nigricans,16831,Tyrannidae,
easpho,Eastern Phoebe,Sayornis phoebe,16840,Tyrannidae,
saypho,Say's Phoebe,Sayornis saya,16843,Tyrannidae,
verfly,Vermilion Flycatcher,Pyrocephalus rubinus,16862,Tyrannidae,
flafly1,Flammulated Flycatcher,Ramphotrigon flammulatum,17066,Tyrannidae,flammulated-flycatcher
brratt1,Bright-rumped Attila,Attila spadiceus,17079,Tyrannidae,
rufmou1,Rufous Mourner,Rhytipterna holerythra,17104,Tyrannidae,
yucfly1,Yucatan Flycatcher,Myiarchus yucatanensis,17112,Tyrannidae,
ducfly,Dusky-capped Flycatcher,Myiarchus tuberculifer,17117,Tyrannidae,salvadoran-flycatcher
astfly,Ash-throated Flycatcher,Myiarchus cinerascens,17156,Tyrannidae,
nutfly,Nutting's Flycatcher,Myiarchus nuttingi,17159,Tyrannidae,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,17165,Tyrannidae,
bncfly,Brown-crested Flycatcher,Myiarchus tyrannulus,17166,Tyrannidae,
grekis,Great Kiskadee,Pitangus sulphuratus,17199,Tyrannidae,
bobfly1,Boat-billed Flycatcher,Megarynchus pitangua,17210,Tyrannidae,
socfly1,Social Flycatcher,Myiozetetes similis,17223,Tyrannidae,
strfly1,Streaked Flycatcher,Myiodynastes maculatus,17260,Tyrannidae,
subfly,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,17269,Tyrannidae,
pirfly1,Piratic Flycatcher,Legatus leucophaius,17271,Tyrannidae,
trokin,Tropical Kingbird,Tyrannus melancholicus,17283,Tyrannidae,
coukin,Couch's Kingbird,Tyrannus couchii,17290,Tyrannidae,
caskin,Cassin's Kingbird,Tyrannus vociferans,17292,Tyrannidae,
thbkin,Thick-billed Kingbird,Tyrannus crassirostris,17295,Tyrannidae,
weskin,Western Kingbird,Tyrannus verticalis,17298,Tyrannidae,
easkin,Eastern Kingbird,Tyrannus tyrannus,17302,Tyrannidae,
grykin,Gray Kingbird,Tyrannus dominicensis,17304,Tyrannidae,
sctfly,Scissor-tailed Flycatcher,Tyrannus forficatus,17318,Tyrannidae,
fotfly,Fork-tailed Flycatcher,Tyrannus savana,17322,Tyrannidae,
rubpep1,Rufous-browed Peppershrike,Cyclarhis gujanensis,18853,Vireonidae,
cssvir1,Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,18907,Vireonidae,
grsvir1,Green Shrike-Vireo,Vireolanius pulchellus,18910,Vireonidae,green-shrike-vireo
tacgre1,Tawny-crowned Greenlet,Tunchiornis ochraceiceps,18924,Vireonidae,
lesgre1,Lesser Greenlet,Pachysylvia decurtata,18937,Vireonidae,
golvir1,Golden Vireo,Vireo hypochryseus,18958,Vireonidae,
slavir1,Slaty Vireo,Vireo brevipennis,18963,Vireonidae,
bkcvir1,Black-capped Vireo,Vireo atricapilla,18964,Vireonidae,
dwavir1,Dwarf Vireo,Vireo nelsoni,18965,Vireonidae,
whevir,White-eyed Vireo,Vireo griseus,18966,Vireonidae,
manvir1,Mangrove Vireo,Vireo pallens,18981,Vireonidae,
cozvir1,Cozumel Vireo,Vireo bairdi,18992,Vireonidae,
belvir,Bell's Vireo,Vireo bellii,18998,Vireonidae,
gryvir,Gray Vireo,Vireo vicinior,19004,Vireonidae,
hutvir,Hutton's Vireo,Vireo huttoni,19005,Vireonidae,
yetvir,Yellow-throated Vireo,Vireo flavifrons,19021,Vireonidae,
casvir,Cassin's Vireo,Vireo cassinii,19024,Vireonidae,
buhvir,Blue-headed Vireo,Vireo solitarius,19027,Vireonidae,
plsvir,Plumbeous Vireo,Vireo plumbeus,19032,Vireonidae,
phivir,Philadelphia Vireo,Vireo philadelphicus,19044,Vireonidae,
warvir,Warbling Vireo,Vireo gilvus,19045,Vireonidae,
brcvir1,Brown-capped Vireo,Vireo leucophrys,19053,Vireonidae,
reevir1,Red-eyed Vireo,Vireo olivaceus,19067,Vireonidae,
yegvir,Yellow-green Vireo,Vireo flavoviridis,19085,Vireonidae,
bkwvir,Black-whiskered Vireo,Vireo altiloquus,19092,Vireonidae,
yucvir,Yucatan Vireo,Vireo magister,19100,Vireonidae,
logshr,Loggerhead Shrike,Lanius ludovicianus,20860,Laniidae,
whtjay1,White-throated Jay,Cyanolyca mirabilis,20965,Corvidae,
dwajay1,Dwarf Jay,Cyanolyca nanus,20966,Corvidae,
bltjay1,Black-throated Jay,Cyanolyca pumilo,20967,Corvidae,black-throated-jay
azhjay1,Azure-hooded Jay,Cyanolyca cucullata,20971,Corvidae,azure-hooded-jay
btmjay,Black-throated Magpie-Jay,Cyanocorax colliei,20987,Corvidae,
wtmjay1,White-throated Magpie-Jay,Cyanocorax formosus,20988,Corvidae,white-throated-magpie-jay
brnjay,Brown Jay,Cyanocorax morio,20994,Corvidae,
grnjay,Green Jay,Cyanocorax yncas,21005,Corvidae,
yucjay1,Yucatan Jay,Cyanocorax yucatanicus,21023,Corvidae,
pubjay1,Purplish-backed Jay,Cyanocorax beecheii,21026,Corvidae,
sabjay,San Blas Jay,Cyanocorax sanblasianus,21027,Corvidae,
tufjay1,Tufted Jay,Cyanocorax dickeyi,21030,Corvidae,
pinjay,Pinyon Jay,Gymnorhinus cyanocephalus,21045,Corvidae,
stejay,Steller's Jay,Cyanocitta stelleri,21046,Corvidae,
cowscj1,California Scrub-Jay,Aphelocoma californica,21075,Corvidae,
wooscj2,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,21085,Corvidae,
mexjay4,Mexican Jay,Aphelocoma wollweberi,21097,Corvidae,
mexjay3,Transvolcanic Jay,Aphelocoma ultramarina,21104,Corvidae,
unijay1,Unicolored Jay,Aphelocoma unicolor,21108,Corvidae,unicolored-jay
clanut,Clark's Nutcracker,Nucifraga columbiana,21260,Corvidae,
amecro,American Crow,Corvus brachyrhynchos,21333,Corvidae,
tamcro,Tamaulipas Crow,Corvus imparatus,21344,Corvidae,
sincro1,Sinaloa Crow,Corvus sinaloae,21345,Corvidae,
chirav,Chihuahuan Raven,Corvus cryptoleucus,21350,Corvidae,
comrav,Common Raven,Corvus corax,21400,Corvidae,
mouchi,Mountain Chickadee,Poecile gambeli,21853,Paridae,
mexchi,Mexican Chickadee,Poecile sclateri,21864,Paridae,
britit,Bridled Titmouse,Baeolophus wollweberi,21921,Paridae,
oaktit,Oak Titmouse,Baeolophus inornatus,21926,Paridae,
blctit4,Black-crested Titmouse,Baeolophus atricristatus,21939,Paridae,
verdin,Verdin,Auriparus flaviceps,22045,Remizidae,
horlar,Horned Lark,Eremophila alpestris,22484,Alaudidae,
banswa,Bank Swallow,Riparia riparia,23821,Hirundinidae,
treswa,Tree Swallow,Tachycineta bicolor,23834,Hirundinidae,
manswa1,Mangrove Swallow,Tachycineta albilinea,23840,Hirundinidae,
vigswa,Violet-green Swallow,Tachycineta thalassina,23844,Hirundinidae,
purmar,Purple Martin,Progne subis,23851,Hirundinidae,
sinmar1,Sinaloa Martin,Progne sinaloae,23860,Hirundinidae,
gybmar,Gray-breasted Martin,Progne chalybea,23863,Hirundinidae,
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,Hirundinidae,
blcswa1,Black-capped Swallow,Atticora pileata,23892,Hirundinidae,black-capped-swallow
barswa,Barn Swallow,Hirundo rustica,23957,Hirundinidae,
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,24051,Hirundinidae,
cavswa,Cave Swallow,Petrochelidon fulva,24059,Hirundinidae,
bushti,Bushtit,Psaltriparus minimus,25018,Aegithalidae,
wrenti,Wrentit,Chamaea fasciata,25194,Sylviidae,
swiwhe1,Swinhoe's White-eye,Zosterops simplex,25379,Zosteropidae,
ruckin,Ruby-crowned Kinglet,Corthylio calendula,26595,Regulidae,
gockin,Golden-crowned Kinglet,Regulus satrapa,26599,Regulidae,
whbnut,White-breasted Nuthatch,Sitta carolinensis,26640,Sittidae,
pygnut,Pygmy Nuthatch,Sitta pygmaea,26675,Sittidae,
rebnut,Red-breasted Nuthatch,Sitta canadensis,26688,Sittidae,
brncre,Brown Creeper,Certhia americana,26777,Certhiidae,
lobgna5,Long-billed Gnatwren,Ramphocaenus melanurus,26825,Polioptilidae,
whlgna3,Yucatan Gnatcatcher,Polioptila albiventris,26867,Polioptilidae,
trogna2,White-browed Gnatcatcher,Polioptila bilineata,26868,Polioptilidae,
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,26874,Polioptilidae,
bktgna,Black-tailed Gnatcatcher,Polioptila melanura,26884,Polioptilidae,
calgna,California Gnatcatcher,Polioptila californica,26888,Polioptilidae,
bkcgna,Black-capped Gnatcatcher,Polioptila nigriceps,26892,Polioptilidae,
whlgna2,White-lored Gnatcatcher,Polioptila albiloris,26896,Polioptilidae,
rocwre,Rock Wren,Salpinctes obsoletus,26901,Troglodytidae,
nigwre1,Nightingale Wren,Microcerculus philomela,26912,Troglodytidae,
canwre,Canyon Wren,Catherpes mexicanus,26935,Troglodytidae,
sumwre1,Sumichrast's Wren,Hylorchilus sumichrasti,26939,Troglodytidae,
navwre1,Nava's Wren,Hylorchilus navai,26940,Troglodytidae,nava-s-wren
houwre,Northern House Wren,Troglodytes aedon,26942,Troglodytidae,
houwre3,Cozumel Wren,Troglodytes beani,26952,Troglodytidae,
houwre4,Southern House Wren,Troglodytes musculus,26960,Troglodytidae,
socwre2,Socorro Wren,Troglodytes sissonii,26984,Troglodytidae,
clawre1,Clarion Wren,Troglodytes tanneri,26985,Troglodytidae,
rubwre2,Rufous-browed Wren,Troglodytes rufociliatus,26986,Troglodytidae,rufous-browed-wren
winwre3,Winter Wren,Troglodytes hiemalis,27054,Troglodytidae,
sedwre1,Sedge Wren,Cistothorus stellaris,27062,Troglodytidae,
sedwre,Grass Wren,Cistothorus platensis,27063,Troglodytidae,
marwre,Marsh Wren,Cistothorus palustris,27088,Troglodytidae,
carwre,Carolina Wren,Thryothorus ludovicianus,27107,Troglodytidae,
bewwre,Bewick's Wren,Thryomanes bewickii,27121,Troglodytidae,
babwre1,Band-backed Wren,Campylorhynchus zonatus,27142,Troglodytidae,
grbwre1,Gray-barred Wren,Campylorhynchus megalopterus,27154,Troglodytidae,
giawre1,Giant Wren,Campylorhynchus chiapensis,27157,Troglodytidae,giant-wren
runwre3,Russet-naped Wren,Campylorhynchus humilis,27158,Troglodytidae,russet-naped-wren
runwre2,Veracruz Wren,Campylorhynchus rufinucha,27159,Troglodytidae,
runwre4,Rufous-backed Wren,Campylorhynchus capistratus,27160,Troglodytidae,rufous-backed-wren
spowre1,Spotted Wren,Campylorhynchus gularis,27168,Troglodytidae,
bouwre1,Boucard's Wren,Campylorhynchus jocosus,27169,Troglodytidae,
yucwre1,Yucatan Wren,Campylorhynchus yucatanicus,27170,Troglodytidae,
cacwre,Cactus Wren,Campylorhynchus brunneicapillus,27171,Troglodytidae,
spbwre1,Spot-breasted Wren,Pheugopedius maculipectus,27250,Troglodytidae,
hapwre1,Happy Wren,Pheugopedius felix,27261,Troglodytidae,
sinwre1,Sinaloa Wren,Thryophilus sinaloa,27270,Troglodytidae,
banwre1,Banded Wren,Thryophilus pleurostictus,27274,Troglodytidae,
rawwre1,Rufous-and-white Wren,Thryophilus rufalbus,27282,Troglodytidae,
plawre1,Cabanis's Wren,Cantorchilus modestus,27294,Troglodytidae,
whbwre1,White-bellied Wren,Uropsila leucogastra,27344,Troglodytidae,white-bellied-wren
wbwwre1,White-breasted Wood-Wren,Henicorhina leucosticta,27353,Troglodytidae,
gbwwre1,Gray-breasted Wood-Wren,Henicorhina leucophrys,27371,Troglodytidae,
amedip,American Dipper,Cinclus mexicanus,27427,Cinclidae,
eursta,European Starling,Sturnus vulgaris,27571,Sturnidae,
blumoc,Blue Mockingbird,Melanotis caerulescens,27753,Mimidae,
bawmoc1,Blue-and-white Mockingbird,Melanotis hypoleucus,27756,Mimidae,blue-and-white-mockingbird
blacat1,Black Catbird,Melanoptila glabrirostris,27757,Mimidae,
grycat,Gray Catbird,Dumetella carolinensis,27758,Mimidae,
cubthr,Curve-billed Thrasher,Toxostoma curvirostre,27782,Mimidae,
ocethr1,Ocellated Thrasher,Toxostoma ocellatum,27792,Mimidae,
lobthr,Long-billed Thrasher,Toxostoma longirostre,27798,Mimidae,
benthr,Bendire's Thrasher,Toxostoma bendirei,27804,Mimidae,
grathr1,Gray Thrasher,Toxostoma cinereum,27809,Mimidae,
calthr,California Thrasher,Toxostoma redivivum,27812,Mimidae,
lecthr,LeConte's Thrasher,Toxostoma lecontei,27815,Mimidae,
crithr,Crissal Thrasher,Toxostoma crissale,27820,Mimidae,
sagthr,Sage Thrasher,Oreoscoptes montanus,27827,Mimidae,
tromoc,Tropical Mockingbird,Mimus gilvus,27857,Mimidae,
normoc,Northern Mockingbird,Mimus polyglottos,27870,Mimidae,
easblu,Eastern Bluebird,Sialia sialis,27881,Turdidae,
wesblu,Western Bluebird,Sialia mexicana,27891,Turdidae,
moublu,Mountain Bluebird,Sialia currucoides,27899,Turdidae,
towsol,Townsend's Solitaire,Myadestes townsendi,27918,Turdidae,
brbsol1,Brown-backed Solitaire,Myadestes occidentalis,27921,Turdidae,
slcsol1,Slate-colored Solitaire,Myadestes unicolor,27938,Turdidae,slate-colored-solitaire
varthr,Varied Thrush,Ixoreus naevius,28003,Turdidae,
obnthr1,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,28010,Turdidae,
runthr1,Russet Nightingale-Thrush,Catharus occidentalis,28037,Turdidae,
rcnthr1,Ruddy-capped Nightingale-Thrush,Catharus frantzii,28042,Turdidae,ruddy-capped-nightingale-thrush
bhnthr1,Black-headed Nightingale-Thrush,Catharus mexicanus,28051,Turdidae,black-headed-nightingale-thrush
spnthr1,Yellow-throated Nightingale-Thrush,Catharus dryas,28055,Turdidae,yellow-throated-nightingale-thrush
veery,Veery,Catharus fuscescens,28061,Turdidae,
gycthr,Gray-cheeked Thrush,Catharus minimus,28066,Turdidae,
swathr,Swainson's Thrush,Catharus ustulatus,28072,Turdidae,
herthr,Hermit Thrush,Catharus guttatus,28081,Turdidae,
woothr,Wood Thrush,Hylocichla mustelina,28095,Turdidae,
aztthr,Aztec Thrush,Ridgwayia pinicola,28103,Turdidae,
mourob1,Mountain Thrush,Turdus plebejus,28214,Turdidae,mountain-thrush
whtrob1,White-throated Thrush,Turdus assimilis,28258,Turdidae,
clcrob,Clay-colored Thrush,Turdus grayi,28294,Turdidae,
blarob1,Black Thrush,Turdus infuscatus,28311,Turdidae,black-thrush
amerob,American Robin,Turdus migratorius,28313,Turdidae,
rubrob,Rufous-backed Robin,Turdus rufopalliatus,28323,Turdidae,
rucrob1,Rufous-collared Robin,Turdus rufitorques,28326,Turdidae,rufous-collared-robin
cedwax,Cedar Waxwing,Bombycilla cedrorum,29618,Bombycillidae,
grsfly1,Gray Silky-flycatcher,Ptiliogonys cinereus,29632,Ptiliogonatidae,
phaino,Phainopepla,Phainopepla nitens,29638,Ptiliogonatidae,
oliwar,Olive Warbler,Peucedramus taeniatus,30421,Peucedramidae,
nutman,Scaly-breasted Munia,Lonchura punctulata,30801,Estrildidae,
trimun,Tricolored Munia,Lonchura malacca,30839,Estrildidae,
houspa,House Sparrow,Passer domesticus,31261,Passeridae,
retpip,Red-throated Pipit,Anthus cervinus,31592,Motacillidae,
amepip,American Pipit,Anthus rubescens,31605,Motacillidae,
sprpip,Sprague's Pipit,Anthus spragueii,31611,Motacillidae,
eleeup1,Elegant Euphonia,Chlorophonia elegantissima,31699,Fringillidae,elegant-euphonia
blcchl1,Blue-crowned Chlorophonia,Chlorophonia occipitalis,31720,Fringillidae,blue-crowned-chlorophonia
screup3,West Mexican Euphonia,Euphonia godmani,31735,Fringillidae,
screup1,Scrub Euphonia,Euphonia affinis,31736,Fringillidae,
whveup1,White-vented Euphonia,Euphonia minuta,31743,Fringillidae,
yeteup1,Yellow-throated Euphonia,Euphonia hirundinacea,31751,Fringillidae,
olbeup1,Olive-backed Euphonia,Euphonia gouldi,31763,Fringillidae,
hoogro1,Hooded Grosbeak,Coccothraustes abeillei,31801,Fringillidae,
evegro,Evening Grosbeak,Coccothraustes vespertinus,31806,Fringillidae,
houfin,House Finch,Haemorhous mexicanus,32034,Fringillidae,
casfin,Cassin's Finch,Haemorhous cassinii,32053,Fringillidae,
redcro,Red Crossbill,Loxia curvirostra,32220,Fringillidae,red-crossbill
pinsis,Pine Siskin,Spinus pinus,32316,Fringillidae,pine-siskin
blcsis1,Black-capped Siskin,Spinus atriceps,32323,Fringillidae,black-capped-siskin
blhsis1,Black-headed Siskin,Spinus notatus,32325,Fringillidae,
lesgol,Lesser Goldfinch,Spinus psaltria,32330,Fringillidae,
lawgol,Lawrence's Goldfinch,Spinus lawrencei,32337,Fringillidae,
amegfi,American Goldfinch,Spinus tristis,32338,Fringillidae,
laplon,Lapland Longspur,Calcarius lapponicus,32384,Calcariidae,
chclon,Chestnut-collared Longspur,Calcarius ornatus,32388,Calcariidae,
mcclon,Thick-billed Longspur,Rhynchophanes mccownii,32390,Calcariidae,
rottan2,Rosy Thrush-Tanager,Rhodinocichla rosea,32402,Rhodinocichlidae,
cobtan1,Common Chlorospingus,Chlorospingus flavopectus,32585,Passerellidae,
ruwspa,Rufous-winged Sparrow,Peucaea carpalis,32628,Passerellidae,
citspa1,Cinnamon-tailed Sparrow,Peucaea sumichrasti,32632,Passerellidae,cinnamon-tailed-sparrow
sthspa1,Stripe-headed Sparrow,Peucaea ruficauda,32633,Passerellidae,stripe-headed-sparrow
blcspa1,Black-chested Sparrow,Peucaea humeralis,32640,Passerellidae,
brispa1,Bridled Sparrow,Peucaea mystacalis,32641,Passerellidae,
botspa,Botteri's Sparrow,Peucaea botterii,32642,Passerellidae,
casspa,Cassin's Sparrow,Peucaea cassinii,32654,Passerellidae,
graspa,Grasshopper Sparrow,Ammodramus savannarum,32661,Passerellidae,
olispa,Olive Sparrow,Arremonops rufivirgatus,32684,Passerellidae,olive-sparrow
grbspa1,Green-backed Sparrow,Arremonops chloronotus,32696,Passerellidae,green-backed-sparrow
chispa,Chipping Sparrow,Spizella passerina,32708,Passerellidae,
clcspa,Clay-colored Sparrow,Spizella pallida,32714,Passerellidae,
bkcspa,Black-chinned Sparrow,Spizella atrogularis,32716,Passerellidae,
fiespa,Field Sparrow,Spizella pusilla,32720,Passerellidae,
brespa,Brewer's Sparrow,Spizella breweri,32725,Passerellidae,
worspa,Worthen's Sparrow,Spizella wortheni,32731,Passerellidae,
fisspa,Five-striped Sparrow,Amphispizopsis quinquestriata,32733,Passerellidae,
bktspa,Black-throated Sparrow,Amphispiza bilineata,32736,Passerellidae,
larspa,Lark Sparrow,Chondestes grammacus,32747,Passerellidae,
larbun,Lark Bunting,Calamospiza melanocorys,32750,Passerellidae,
orbspa1,Orange-billed Sparrow,Arremon aurantiirostris,32769,Passerellidae,
gsbfin1,Green-striped Brushfinch,Arremon virenticeps,32796,Passerellidae,
ccbfin,Chestnut-capped Brushfinch,Arremon brunneinucha,32799,Passerellidae,
foxspa,Fox Sparrow,Passerella iliaca,32817,Passerellidae,
daejun,Dark-eyed Junco,Junco hyemalis,32842,Passerellidae,
daejun2,Guadalupe Junco,Junco insularis,32865,Passerellidae,
yeejun,Yellow-eyed Junco,Junco phaeonotus,32866,Passerellidae,
yeejun2,Baird's Junco,Junco bairdi,32874,Passerellidae,
rucspa1,Rufous-collared Sparrow,Zonotrichia capensis,32876,Passerellidae,
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,32905,Passerellidae,
gocspa,Golden-crowned Sparrow,Zonotrichia atricapilla,32914,Passerellidae,
whtspa,White-throated Sparrow,Zonotrichia albicollis,32919,Passerellidae,
sagspa1,Sagebrush Sparrow,Artemisiospiza nevadensis,32925,Passerellidae,
belspa2,Bell's Sparrow,Artemisiospiza belli,32926,Passerellidae,
strspa1,Striped Sparrow,Oriturus superciliosus,32932,Passerellidae,
vesspa,Vesper Sparrow,Pooecetes gramineus,32935,Passerellidae,
nstspa,Nelson's Sparrow,Ammospiza nelsoni,32950,Passerellidae,
savspa,Savannah Sparrow,Passerculus sandwichensis,32962,Passerellidae,
baispa,Baird's Sparrow,Centronyx bairdii,32988,Passerellidae,
simspa1,Sierra Madre Sparrow,Xenospiza baileyi,32994,Passerellidae,
